Angka Kematian Anak (Child Mortality Rate/CMR) Hasil Long Form SP2020 Menurut Provinsi, 2020,,
,,
PROVINSI,CMR,LATITUDE,LONGITUDE

ACEH,3.47,4.897291888652284, 96.75886134830365
SUMATERA UTARA,3.10,2.1182704084064388, 99.54509601565502
SUMATERA BARAT,2.84,-0.5056870954733186, 100.83263724925462
RIAU,2.55,0.2960933726723381, 101.70717133941388
JAMBI,2.99,-1.5885764391991148, 103.61076814884282
SUMATERA SELATAN,2.84,-3.3163518154723595, 103.91542759109325
BENGKULU,3.65,-3.5711644052347813, 102.34518449399839
LAMPUNG,2.61,-4.545648144989506, 105.40577870852412
KEPULAUAN BANGKA BELITUNG,2.92,-2.739133541325065, 106.44010997758524
KEPULAUAN RIAU,2.12,3.947340460962332, 108.1427577416234
DKI JAKARTA,1.64,-6.176568133793292, 106.82937009994467
JAWA BARAT,2.35,-7.087331851712467, 107.66837065119584
JAWA TENGAH,2.04,-7.148077614320605, 110.13939972871061
DI YOGYAKARTA,1.72,-7.797793665663873, 110.36441211556668
JAWA TIMUR,2.16,-7.533224252184541, 112.23843773314407
BANTEN,2.32,-6.403768475223644, 106.0640165325953
BALI,2.11,-8.40594950843389, 115.18891464103835
NUSA TENGGARA BARAT,4.73,-8.64987644672229, 117.36181790354418
NUSA TENGGARA TIMUR,5.05,-8.653306739160758, 121.07919748083421
KALIMANTAN BARAT,2.97,-0.2760341752714632, 111.4751120559318
KALIMANTAN TENGAH,3.24,-1.6773692593957232, 113.38252478075918
KALIMANTAN SELATAN,2.87,-3.0890410543119255, 115.2832421382499
KALIMANTAN TIMUR,2.53,0.543121460451183, 116.41835764826875
KALIMANTAN UTARA,2.78,3.0761775667303644, 116.04138751568219
SULAWESI UTARA,3.17,0.6260662505628288, 123.97465709365956
SULAWESI TENGAH,5.72,-1.426764474978111, 121.44578818032177
SULAWESI SELATAN,3.29,-3.6664001139797597, 119.97353703969856
SULAWESI TENGGARA,4.64,-4.141142247894043, 122.17546193192618
GORONTALO,6.39,0.7042282340812118, 122.44586410950308
SULAWESI BARAT,6.28,-2.8420789621246727, 119.23259200586186
MALUKU,6.72,-3.2355471743594606, 130.1457870067965
MALUKU UTARA,5.98,1.5742592345078563, 127.80928289991051
PAPUA BARAT,10.17,-1.3323395255111095, 133.17454315743427
PAPUA,10.88,-4.268215046375494, 138.08000820272545
INDONESIA,2.98,
